month,med_name,total_packs,total_value,stock_movement
2024-03-01,Clavamox (Amoxicillin/Clavulanic),163.5,4087.5,stock in
2024-03-01,FleaGuard,11.17,223.4,stock in
2024-03-01,EarClear,8.9,89.0,stock in
2024-03-01,RespiraTonic,3.18,95.4,stock in
2024-03-01,Canine Eye Health,3.94,118.2,stock in
2024-03-01,Otomax (Mometasone Furoate),24.2,1089.0,stock in
2024-03-01,Adequan Canine,79.0,3950.0,stock in
2024-03-01,Cystaid,32.5,975.0,stock in
2024-03-01,OraVet Dental Gel,35.0,875.0,stock in
2024-03-01,FungalGuard,4.12,164.8,stock in
2024-03-01,Prednisolone,8.21,180.62,stock in
2024-03-01,AllerEx,2.11,46.419999999999995,stock in
2024-03-01,Adequan Canine Injection,105.0,6300.0,stock in
2024-03-01,Cerenia (Maropitant),114.0,5700.0,stock in
2024-03-01,Torbutrol (Butorphanol Tartrate),20.5,820.0,stock in
2024-03-01,ThyroVet,15.780000000000001,631.2,stock in
2024-03-01,WormAway,12.05,120.5,stock in
2024-03-01,Renal Support RX (Cat),9.08,454.0,stock in
2024-03-01,DiarStop,19.93,298.95,stock in
2024-03-01,Atopica (Cyclosporine),53.5,4815.0,stock in
2024-03-01,BoneHeal,0.9,36.0,stock in
2024-03-01,Hill's Prescription Diet w/d,2.3,172.5,stock in
2024-03-01,CardioVet,9.6,480.0,stock in
2024-03-01,Vetmedin (Pimobendan),323.0,19380.0,stock in
2024-03-01,Methimazole,41.5,913.0,stock in
2024-03-01,Frontline Plus,106.0,3710.0,stock in
2024-03-01,Griseofulvin,55.5,832.5,stock in
2024-03-01,Palladia (Toceranib Phosphate),33.5,4020.0,stock in
2024-03-01,Dasuquin Advanced,24.05,1683.5,stock in
2024-03-01,Tresaderm (Antibiotic Drops),24.0,480.0,stock in
2024-03-01,GingivaPlus,10.36,290.08,stock in
2024-03-01,OncoCare,6.34,538.9,stock in
2024-03-01,FleaStop,10.62,265.5,stock in
2024-03-01,Nutra Thrive Canine,5.18,310.79999999999995,stock in
2024-03-01,OtitisClean,5.6,84.0,stock in
2024-03-01,Beano,10.100000000000001,202.00000000000003,stock in
2024-03-01,WormGuard,11.08,166.2,stock in
2024-03-01,Metronidazole,51.0,510.0,stock in
2024-03-01,Rimadyl (Carprofen),60.5,2722.5,stock in
2024-03-01,Levothyroxine,6.3,126.0,stock in
2024-03-01,Tobrex (Tobramycin),53.0,795.0,stock in
2024-03-01,Petromalt,1.4000000000000001,35.0,stock in
2024-03-01,Virbac C.E.T. Enzymatic Oral Gel,29.6,444.0,stock in
2024-03-01,Dermacure,0.02,0.36,stock in
2024-03-01,Enzymatic Dental Gel,12.04,301.0,stock in
2024-03-01,EyeClear,21.4,385.2,stock in
2024-03-01,ArthriFlex,35.48,1236.4,stock in
2024-03-01,Fenbendazole (Panacur),42.0,924.0,stock in
2024-03-01,Gabapentin,47.5,2612.5,stock in
2024-03-01,SlimPaws,13.04,456.4,stock in
2024-03-01,Cephalexin (500 mg),29.0,580.0,stock in
2024-03-01,CushiVet,10.06,452.70000000000005,stock in
2024-03-01,UroVet,28.9,809.19999999999993,stock in
2024-04-01,Clavamox (Amoxicillin/Clavulanic),115.5,2887.5,stock in
2024-04-01,FlexiJoint (Dog),4.24,212.0,stock in
2024-04-01,Cerenia (Maropitant),52.0,2600.0,stock in
2024-04-01,Renal Support RX (Cat),11.91,595.5,stock in
2024-04-01,Adequan Canine,102.0,5100.0,stock in
2024-04-01,FleaStop,12.17,304.25,stock in
2024-04-01,Frontline Plus,140.0,4900.0,stock in
2024-04-01,Tresaderm (Antibiotic Drops),36.5,730.0,stock in
2024-04-01,Enrofloxacin (Baytril),19.0,380.0,stock in
2024-04-01,Hill's Prescription Diet w/d,6.35,476.25,stock in
2024-04-01,Adequan Canine Injection,86.0,5160.0,stock in
2024-04-01,CardioVet,24.560000000000002,1228.0,stock in
2024-04-01,Zyrtec (Cetirizine),33.4,668.0,stock in
2024-04-01,Otomax (Mometasone Furoate),9.6000000000000014,432.00000000000006,stock in
2024-04-01,Virbac C.E.T. Enzymatic Oral Gel,19.6,294.0,stock in
2024-04-01,Rimadyl (Carprofen),63.5,2857.5,stock in
2024-04-01,AllerEx,4.91,108.02000000000001,stock in
2024-04-01,SlimPaws,6.6999999999999993,234.49999999999997,stock in
2024-04-01,Griseofulvin,60.5,907.5,stock in
2024-04-01,Fenbendazole (Panacur),52.0,1144.0,stock in
2024-04-01,OtitisClean,15.0,225.0,stock in
2024-04-01,Enzymatic Dental Gel,4.58,114.5,stock in
2024-04-01,Torbutrol (Butorphanol Tartrate),28.0,1120.0,stock in
2024-04-01,ThyroVet,12.27,490.79999999999995,stock in
2024-04-01,Gabapentin,45.5,2502.5,stock in
2024-04-01,DiarStop,42.16,632.4,stock in
2024-04-01,FungalGuard,14.02,560.8,stock in
2024-04-01,Vetmedin (Pimobendan),349.0,20940.0,stock in
2024-04-01,CushiVet,10.19,458.54999999999995,stock in
2024-04-01,Tobrex (Tobramycin),106.0,1590.0,stock in
2024-04-01,ArthriFlex,38.46,1296.8,stock in
2024-04-01,RetinoGuard,16.9,844.99999999999989,stock in
2024-04-01,Methimazole,42.25,929.5,stock in
2024-04-01,VetriScience Perio Support,1.3,36.4,stock in
2024-04-01,GingivaPlus,7.75,217.0,stock in
2024-04-01,WormGuard,10.4,156.0,stock in
2024-04-01,Cystaid,61.5,1845.0,stock in
2024-04-01,Phenobarbital,33.0,990.0,stock in
2024-04-01,Levothyroxine,13.3,266.0,stock in
2024-04-01,WetTailMed,9.2,110.39999999999999,stock in
2024-04-01,Beano,13.8,276.0,stock in
2024-04-01,OraVet Dental Gel,41.75,1043.75,stock in
2024-04-01,Metronidazole,125.0,1250.0,stock in
2024-04-01,Dermacure,0.16,2.88,stock in
2024-04-01,WormAway,9.35,93.5,stock in
2024-04-01,BoneHeal,11.02,440.79999999999995,stock in
2024-04-01,Dasuquin Advanced,21.05,1473.5,stock in
2024-04-01,Canine Eye Health,8.78,263.4,stock in
2024-04-01,EarClear,10.5,105.0,stock in
2024-04-01,OncoCare,4.77,405.45,stock in
2024-04-01,UroVet,31.11,871.07999999999993,stock in
2024-04-01,Palladia (Toceranib Phosphate),86.5,10380.0,stock in
2024-04-01,EyeClear,12.5,225.0,stock in
2024-04-01,Nutra Thrive Canine,9.86,591.59999999999991,stock in
2024-04-01,Cephalexin (500 mg),29.0,580.0,stock in
2024-04-01,Prednisolone,1.68,36.96,stock in
2024-04-01,Atopica (Cyclosporine),79.0,7110.0,stock in
2024-04-01,FleaGuard,9.59,191.8,stock in
2024-04-01,Petromalt,9.9,247.5,stock in
2024-04-01,RespiraTonic,0.96,28.799999999999997,stock in
2024-05-01,Tobrex (Tobramycin),135.0,2025.0,stock in
2024-05-01,Enzymatic Dental Gel,10.92,273.0,stock in
2024-05-01,Cephalexin (500 mg),24.0,480.0,stock in
2024-05-01,Fenbendazole (Panacur),103.0,2266.0,stock in
2024-05-01,CushiVet,8.48,381.6,stock in
2024-05-01,DiarStop,72.02000000000001,1080.3000000000002,stock in
2024-05-01,AllerEx,18.59,408.98,stock in
2024-05-01,Palladia (Toceranib Phosphate),67.5,8100.0,stock in
2024-05-01,Griseofulvin,102.5,1537.5,stock in
2024-05-01,Beano,17.5,350.0,stock in
2024-05-01,SlimPaws,6.37,222.95000000000002,stock in
2024-05-01,FleaStop,1.71,42.75,stock in
2024-05-01,Zyrtec (Cetirizine),35.2,704.0,stock in
2024-05-01,FleaGuard,5.8599999999999994,117.19999999999999,stock in
2024-05-01,WetTailMed,11.4,136.8,stock in
2024-05-01,Adequan Canine,100.0,5000.0,stock in
2024-05-01,Nutra Thrive Canine,8.7,522.0,stock in
2024-05-01,Prednisolone,16.13,354.85999999999996,stock in
2024-05-01,Levothyroxine,11.45,229.0,stock in
2024-05-01,Canine Eye Health,6.48,194.4,stock in
2024-05-01,Enrofloxacin (Baytril),67.5,1350.0,stock in
2024-05-01,Adequan Canine Injection,110.0,6600.0,stock in
2024-05-01,Methimazole,42.0,924.0,stock in
2024-05-01,RetinoGuard,20.8,1040.0,stock in
2024-05-01,OncoCare,5.48,465.8,stock in
2024-05-01,Torbutrol (Butorphanol Tartrate),19.0,760.0,stock in
2024-05-01,Cerenia (Maropitant),179.0,8950.0,stock in
2024-05-01,Hill's Prescription Diet w/d,13.65,1023.75,stock in
2024-05-01,VetriScience Perio Support,4.68,131.04,stock in
2024-05-01,Clavamox (Amoxicillin/Clavulanic),161.0,4025.0,stock in
2024-05-01,GingivaPlus,4.39,122.91999999999999,stock in
2024-05-01,ThyroVet,27.130000000000003,1085.2,stock in
2024-05-01,WormGuard,6.92,103.8,stock in
2024-05-01,Dermacure,3.46,62.28,stock in
2024-05-01,EyeClear,19.3,347.40000000000003,stock in
2024-05-01,Phenobarbital,66.5,1995.0,stock in
2024-05-01,BoneHeal,6.48,259.20000000000005,stock in
2024-05-01,ArthriFlex,51.64,1774.2,stock in
2024-05-01,Gabapentin,93.0,5115.0,stock in
2024-05-01,Otomax (Mometasone Furoate),38.0,1710.0,stock in
2024-05-01,Metronidazole,202.0,2020.0,stock in
2024-05-01,WormAway,8.77,87.699999999999989,stock in
2024-05-01,Virbac C.E.T. Enzymatic Oral Gel,45.2,678.0,stock in
2024-05-01,Rimadyl (Carprofen),121.0,5445.0,stock in
2024-05-01,Renal Support RX (Cat),26.33,1316.5,stock in
2024-05-01,Atopica (Cyclosporine),118.5,10665.0,stock in
2024-05-01,FungalGuard,3.84,153.6,stock in
2024-05-01,Frontline Plus,98.0,3430.0,stock in
2024-05-01,RespiraTonic,7.6,228.0,stock in
2024-05-01,Cystaid,78.5,2355.0,stock in
2024-05-01,OtitisClean,20.6,309.0,stock in
2024-05-01,Tresaderm (Antibiotic Drops),76.0,1520.0,stock in
2024-05-01,UroVet,37.72,1056.1599999999999,stock in
2024-05-01,Vetmedin (Pimobendan),402.0,24120.0,stock in
2024-05-01,Dasuquin Advanced,26.4,1848.0,stock in
2024-05-01,EarClear,9.7,97.0,stock in
2024-05-01,OraVet Dental Gel,43.0,1075.0,stock in
2024-05-01,CardioVet,23.36,1168.0,stock in
2024-05-01,Petromalt,15.8,395.0,stock in
2024-05-01,FlexiJoint (Dog),9.72,486.00000000000006,stock in
2024-06-01,FlexiJoint (Dog),6.6400000000000006,332.0,stock in
2024-06-01,DiarStop,84.6,1269.0,stock in
2024-06-01,Phenobarbital,65.5,1965.0,stock in
2024-06-01,OtitisClean,19.1,286.5,stock in
2024-06-01,Otomax (Mometasone Furoate),18.8,846.0,stock in
2024-06-01,Zyrtec (Cetirizine),26.799999999999997,536.0,stock in
2024-06-01,Palladia (Toceranib Phosphate),77.0,9240.0,stock in
2024-06-01,Methimazole,67.0,1474.0,stock in
2024-06-01,Metronidazole,184.0,1840.0,stock in
2024-06-01,Torbutrol (Butorphanol Tartrate),20.5,820.0,stock in
2024-06-01,AllerEx,15.9,349.8,stock in
2024-06-01,Dasuquin Advanced,25.85,1809.5,stock in
2024-06-01,Frontline Plus,121.0,4235.0,stock in
2024-06-01,Tobrex (Tobramycin),83.5,1252.5,stock in
2024-06-01,Dermacure,2.74,49.320000000000007,stock in
2024-06-01,Enrofloxacin (Baytril),53.0,1060.0,stock in
2024-06-01,UroVet,28.43,796.04,stock in
2024-06-01,ArthriFlex,48.32,1655.6,stock in
2024-06-01,Petromalt,22.9,572.5,stock in
2024-06-01,Cerenia (Maropitant),131.0,6550.0,stock in
2024-06-01,VetriScience Perio Support,10.16,284.48,stock in
2024-06-01,GingivaPlus,8.15,228.20000000000002,stock in
2024-06-01,Tresaderm (Antibiotic Drops),87.0,1740.0,stock in
2024-06-01,EarClear,10.9,109.0,stock in
2024-06-01,OncoCare,11.58,984.3,stock in
2024-06-01,Cystaid,99.5,2985.0,stock in
2024-06-01,Griseofulvin,158.5,2377.5,stock in
2024-06-01,CardioVet,34.480000000000004,1724.0000000000002,stock in
2024-06-01,Clavamox (Amoxicillin/Clavulanic),194.5,4862.5,stock in
2024-06-01,Cephalexin (500 mg),17.0,340.0,stock in
2024-06-01,WormGuard,10.96,164.4,stock in
2024-06-01,Enzymatic Dental Gel,4.38,109.5,stock in
2024-06-01,CushiVet,18.23,820.35,stock in
2024-06-01,SlimPaws,4.53,158.55,stock in
2024-06-01,EyeClear,20.9,376.2,stock in
2024-06-01,RespiraTonic,4.96,148.8,stock in
2024-06-01,OraVet Dental Gel,42.0,1050.0,stock in
2024-06-01,Canine Eye Health,3.42,102.6,stock in
2024-06-01,RetinoGuard,20.9,1045.0,stock in
2024-06-01,WetTailMed,7.2,86.4,stock in
2024-06-01,Rimadyl (Carprofen),126.0,5670.0,stock in
2024-06-01,Renal Support RX (Cat),25.880000000000003,1294.0000000000002,stock in
2024-06-01,Hill's Prescription Diet w/d,7.7,577.5,stock in
2024-06-01,WormAway,10.83,108.3,stock in
2024-06-01,Gabapentin,73.0,4015.0,stock in
2024-06-01,Levothyroxine,12.0,240.0,stock in
2024-06-01,Fenbendazole (Panacur),156.0,3432.0,stock in
2024-06-01,Adequan Canine Injection,138.0,8280.0,stock in
2024-06-01,Vetmedin (Pimobendan),659.0,39540.0,stock in
2024-06-01,Adequan Canine,186.0,9300.0,stock in
2024-06-01,Beano,20.9,418.0,stock in
2024-06-01,Nutra Thrive Canine,8.82,529.2,stock in
2024-06-01,Prednisolone,5.29,116.38,stock in
2024-06-01,ThyroVet,30.990000000000002,1239.6000000000001,stock in
2024-06-01,Atopica (Cyclosporine),143.5,12915.0,stock in
2024-06-01,FleaStop,5.18,129.5,stock in
2024-06-01,BoneHeal,11.54,461.59999999999997,stock in
2024-06-01,FleaGuard,13.46,269.20000000000005,stock in
2024-06-01,FungalGuard,3.56,142.4,stock in
2024-06-01,Virbac C.E.T. Enzymatic Oral Gel,30.200000000000003,453.00000000000006,stock in
2024-07-01,Levothyroxine,10.7,214.0,stock in
2024-07-01,ThyroVet,34.18,1367.2,stock in
2024-07-01,WormGuard,9.23,138.45000000000002,stock in
2024-07-01,CardioVet,35.84,1792.0000000000002,stock in
2024-07-01,BoneHeal,10.76,430.4,stock in
2024-07-01,Cystaid,103.5,3105.0,stock in
2024-07-01,Frontline Plus,314.0,10990.0,stock in
2024-07-01,Palladia (Toceranib Phosphate),91.0,10920.0,stock in
2024-07-01,Renal Support RX (Cat),27.090000000000003,1354.5000000000002,stock in
2024-07-01,Adequan Canine Injection,156.0,9360.0,stock in
2024-07-01,Beano,9.0,180.0,stock in
2024-07-01,SlimPaws,14.43,505.05,stock in
2024-07-01,EarClear,29.8,298.0,stock in
2024-07-01,Prednisolone,18.55,408.1,stock in
2024-07-01,Virbac C.E.T. Enzymatic Oral Gel,35.0,525.0,stock in
2024-07-01,RespiraTonic,8.84,265.2,stock in
2024-07-01,DiarStop,58.72,880.8,stock in
2024-07-01,Methimazole,88.75,1952.5,stock in
2024-07-01,CushiVet,17.9,805.49999999999989,stock in
2024-07-01,FlexiJoint (Dog),10.620000000000001,531.0,stock in
2024-07-01,WormAway,2.98,29.8,stock in
2024-07-01,Adequan Canine,145.0,7250.0,stock in
2024-07-01,OncoCare,13.629999999999999,1158.55,stock in
2024-07-01,FungalGuard,10.06,402.40000000000003,stock in
2024-07-01,FleaGuard,6.93,138.6,stock in
2024-07-01,Dermacure,0.68,12.24,stock in
2024-07-01,ArthriFlex,54.78,1892.4,stock in
2024-07-01,Cephalexin (500 mg),59.0,1180.0,stock in
2024-07-01,Clavamox (Amoxicillin/Clavulanic),234.5,5862.5,stock in
2024-07-01,Phenobarbital,124.0,3720.0,stock in
2024-07-01,FleaStop,13.67,341.75,stock in
2024-07-01,VetriScience Perio Support,6.42,179.76,stock in
2024-07-01,Vetmedin (Pimobendan),725.0,43500.0,stock in
2024-07-01,UroVet,55.05,1541.3999999999999,stock in
2024-07-01,Zyrtec (Cetirizine),48.5,970.0,stock in
2024-07-01,Griseofulvin,125.0,1875.0,stock in
2024-07-01,Hill's Prescription Diet w/d,5.7,427.5,stock in
2024-07-01,Canine Eye Health,12.34,370.2,stock in
2024-07-01,Tobrex (Tobramycin),160.5,2407.5,stock in
2024-07-01,WetTailMed,17.7,212.39999999999998,stock in
2024-07-01,Dasuquin Advanced,36.5,2555.0,stock in
2024-07-01,Enzymatic Dental Gel,4.6,114.99999999999999,stock in
2024-07-01,Enrofloxacin (Baytril),78.5,1570.0,stock in
2024-07-01,Gabapentin,68.0,3740.0,stock in
2024-07-01,Rimadyl (Carprofen),129.5,5827.5,stock in
2024-07-01,Otomax (Mometasone Furoate),50.6,2277.0,stock in
2024-07-01,Cerenia (Maropitant),124.0,6200.0,stock in
2024-07-01,OraVet Dental Gel,58.25,1456.25,stock in
2024-07-01,OtitisClean,26.3,394.5,stock in
2024-07-01,Torbutrol (Butorphanol Tartrate),33.5,1340.0,stock in
2024-07-01,Petromalt,15.4,385.0,stock in
2024-07-01,Atopica (Cyclosporine),166.5,14985.0,stock in
2024-07-01,AllerEx,5.6899999999999995,125.17999999999999,stock in
2024-07-01,GingivaPlus,6.23,174.44,stock in
2024-07-01,Nutra Thrive Canine,7.58,454.8,stock in
2024-07-01,Tresaderm (Antibiotic Drops),124.5,2490.0,stock in
2024-07-01,EyeClear,49.1,883.80000000000007,stock in
2024-07-01,RetinoGuard,36.6,1830.0,stock in
2024-07-01,Fenbendazole (Panacur),98.0,2156.0,stock in
2024-07-01,Metronidazole,277.0,2770.0,stock in
2024-08-01,Prednisolone,22.060000000000002,485.32000000000005,stock in
2024-08-01,FleaStop,12.120000000000001,303.0,stock in
2024-08-01,FleaGuard,17.05,341.0,stock in
2024-08-01,UroVet,51.46,1440.88,stock in
2024-08-01,Enzymatic Dental Gel,1.34,33.5,stock in
2024-08-01,Metronidazole,308.0,3080.0,stock in
2024-08-01,Hill's Prescription Diet w/d,14.65,1098.75,stock in
2024-08-01,Virbac C.E.T. Enzymatic Oral Gel,92.2,1383.0,stock in
2024-08-01,Palladia (Toceranib Phosphate),148.0,17760.0,stock in
2024-08-01,Adequan Canine,251.0,12550.0,stock in
2024-08-01,WetTailMed,15.0,180.0,stock in
2024-08-01,EyeClear,38.7,696.6,stock in
2024-08-01,VetriScience Perio Support,10.66,298.48,stock in
2024-08-01,ThyroVet,22.060000000000002,882.40000000000009,stock in
2024-08-01,WormAway,15.719999999999999,157.2,stock in
2024-08-01,RetinoGuard,28.4,1420.0,stock in
2024-08-01,Beano,22.700000000000003,454.00000000000006,stock in
2024-08-01,FlexiJoint (Dog),18.0,900.0,stock in
2024-08-01,Levothyroxine,10.25,205.0,stock in
2024-08-01,Frontline Plus,229.0,8015.0,stock in
2024-08-01,Zyrtec (Cetirizine),47.4,948.0,stock in
2024-08-01,BoneHeal,6.24,249.60000000000002,stock in
2024-08-01,Methimazole,74.75,1644.5,stock in
2024-08-01,Torbutrol (Butorphanol Tartrate),45.0,1800.0,stock in
2024-08-01,Petromalt,35.7,892.50000000000011,stock in
2024-08-01,DiarStop,88.88,1333.1999999999998,stock in
2024-08-01,Dermacure,5.0,90.0,stock in
2024-08-01,Cephalexin (500 mg),22.0,440.0,stock in
2024-08-01,AllerEx,17.75,390.5,stock in
2024-08-01,Phenobarbital,87.5,2625.0,stock in
2024-08-01,ArthriFlex,29.96,1028.8,stock in
2024-08-01,Gabapentin,48.0,2640.0,stock in
2024-08-01,Tobrex (Tobramycin),197.0,2955.0,stock in
2024-08-01,Cerenia (Maropitant),90.0,4500.0,stock in
2024-08-01,Otomax (Mometasone Furoate),38.6,1737.0,stock in
2024-08-01,OraVet Dental Gel,56.75,1418.75,stock in
2024-08-01,Atopica (Cyclosporine),241.5,21735.0,stock in
2024-08-01,Fenbendazole (Panacur),248.0,5456.0,stock in
2024-08-01,FungalGuard,5.68,227.2,stock in
2024-08-01,SlimPaws,5.07,177.45000000000002,stock in
2024-08-01,Tresaderm (Antibiotic Drops),90.0,1800.0,stock in
2024-08-01,WormGuard,13.04,195.6,stock in
2024-08-01,Griseofulvin,236.5,3547.5,stock in
2024-08-01,Clavamox (Amoxicillin/Clavulanic),243.5,6087.5,stock in
2024-08-01,Adequan Canine Injection,170.0,10200.0,stock in
2024-08-01,OncoCare,15.469999999999999,1314.9499999999998,stock in
2024-08-01,Canine Eye Health,10.56,316.8,stock in
2024-08-01,Renal Support RX (Cat),38.620000000000005,1931.0000000000002,stock in
2024-08-01,CushiVet,20.4,917.99999999999989,stock in
2024-08-01,OtitisClean,29.4,441.0,stock in
2024-08-01,Nutra Thrive Canine,7.32,439.20000000000005,stock in
2024-08-01,Dasuquin Advanced,40.75,2852.5,stock in
2024-08-01,Cystaid,146.0,4380.0,stock in
2024-08-01,RespiraTonic,7.5600000000000005,226.8,stock in
2024-08-01,Vetmedin (Pimobendan),910.0,54600.0,stock in
2024-08-01,CardioVet,36.480000000000004,1824.0000000000002,stock in
2024-08-01,GingivaPlus,5.81,162.67999999999998,stock in
2024-08-01,EarClear,25.200000000000003,252.00000000000003,stock in
2024-08-01,Rimadyl (Carprofen),183.0,8235.0,stock in
2024-08-01,Enrofloxacin (Baytril),108.5,2170.0,stock in
2024-09-01,Renal Support RX (Cat),25.200000000000003,1260.0000000000002,stock in
2024-09-01,Gabapentin,91.0,5005.0,stock in
2024-09-01,Dermacure,9.92,178.56,stock in
2024-09-01,Virbac C.E.T. Enzymatic Oral Gel,117.6,1764.0,stock in
2024-09-01,OncoCare,11.04,938.4,stock in
2024-09-01,CushiVet,32.67,1470.15,stock in
