month_invoice,invoice_id,supplier,med_name,packs,price,total_price
2024-01-01,824ONW06BJGG2C1M,Vet Pharma Inc.,Rimadyl (Carprofen),8.0,45,360.0
2024-01-01,02IK9RKQ458XKGP8,Vet Supplies Co.,SlimPaws,2.45,35,85.75
2024-01-01,LWCVC66D81XC9KVV,Vet Supplies Co.,ThyroVet,5.26,40,210.39999999999998
2024-01-01,9PR3D4BTDQWMPP76,Vet Pharma Inc.,Tobrex (Tobramycin),27.0,15,405.0
2024-01-01,FL09S1OCWDCY1J4B,Vet Pharma Inc.,UroVet,17.1,28,478.80000000000007
2024-01-01,TGI8PRECDYJOYXSO,Pets Pharma,Vetmedin (Pimobendan),46.0,60,2760.0
2024-01-01,9PNLVI7ZE96JFZJP,Pets Pharma,Virbac C.E.T. Enzymatic Oral Gel,14.2,15,213.0
2024-01-01,ELTFB5NUUK4IKUS3,Animal Meds Ltd.,WetTailMed,2.8,12,33.599999999999994
2024-01-01,SFK6DGOALSZIY17M,Animal Meds Ltd.,Zyrtec (Cetirizine),7.6,20,152.0
2024-02-01,PVYI7K8Z78OK2YAC,Vet Supplies Co.,Adequan Canine,100.0,50,5000.0
2024-02-01,SAFWBKO45MOAEPC0,Vet Supplies Co.,Adequan Canine Injection,11.0,60,660.0
2024-02-01,BOFI7LUMKLEGVG39,Vet Pharma Inc.,AllerEx,4.42,22,97.24
2024-02-01,AJPYLH49P558O3SD,Pets Pharma,ArthriFlex,7.5600000000000005,30,226.8
2024-02-01,OBW9SCJQV4DVHLXQ,Animal Meds Ltd.,Arthroflex,9.8,35,343.0
2024-02-01,BEZBYOWHNYUETWEH,Animal Meds Ltd.,Atopica (Cyclosporine),36.5,90,3285.0
2024-02-01,6ML5YPKPSLQE1TZZ,Pets Pharma,Beano,6.9,20,138.0
2024-02-01,DDXMZDJJY4S2GVKP,Vet Supplies Co.,BoneHeal,8.92,40,356.8
2024-02-01,EJND3LJ4MU0IG8L3,Pets Pharma,Canine Eye Health,2.5,30,75.0
2024-02-01,5Z9ZBHNUE8M2LY5M,Pets Pharma,CardioVet,5.720000000000001,50,286.00000000000006
2024-02-01,RJKSB3EILFEAA0B1,Animal Meds Ltd.,Cerenia (Maropitant),10.0,50,500.0
2024-02-01,H5MOEH574RD64O4J,Vet Pharma Inc.,Clavamox (Amoxicillin + Clavulanic),46.0,25,1150.0
2024-02-01,JXSN0QWOSVOOEGD4,Vet Supplies Co.,Clavamox (Amoxicillin/Clavulanic),16.0,25,400.0
2024-02-01,XEO2THAIFNV3SRS6,Vet Supplies Co.,CushiVet,9.05,45,407.25000000000006
2024-02-01,A6Y4RP7WS994N498,Vet Pharma Inc.,Cystaid,8.0,30,240.0
2024-02-01,RBF0DCRHCKQSOEXF,Vet Pharma Inc.,Dasuquin Advanced,5.800000000000001,70,406.00000000000006
2024-02-01,C2NBU3FKKUE4FHRX,Vet Supplies Co.,Dermacure,9.16,18,164.88
2024-02-01,MH8OZZ119SM1YFLG,Vet Supplies Co.,DiarStop,37.18,15,557.7
2024-02-01,B7XZTM3ZCVB58VY8,Pets Pharma,EarClear,10.1,10,101.0
2024-02-01,MFBYD4EMUE1FZ789,Vet Pharma Inc.,Enrofloxacin (Baytril),16.5,20,330.0
2024-02-01,W8BURD18RXPXXA7D,Animal Meds Ltd.,Enzymatic Dental Gel,7.3,25,182.5
2024-02-01,EK2IGL7EVW0FGYVU,Animal Meds Ltd.,EyeClear,5.8,18,104.39999999999999
2024-02-01,CT769SBLYX51YOZC,Pets Pharma,Fenbendazole (Panacur),24.0,22,528.0
2024-02-01,RY97DE7F813GOGSZ,Vet Supplies Co.,FleaGuard,1.3,20,26.0
2024-02-01,9ZQLO2QLVX4XKD0A,Animal Meds Ltd.,FleaStop,1.6,25,40.0
2024-02-01,D9M80GR5PD3VBAT2,Animal Meds Ltd.,FlexiJoint (Dog),8.78,50,438.99999999999994
2024-02-01,WAIG36ZNYWX8X7QA,Vet Supplies Co.,Frontline Plus,65.0,35,2275.0
2024-02-01,ZEV0YITMFOU99ORU,Pets Pharma,FungalGuard,9.32,40,372.8
2024-02-01,YR8N9RFH3ASNBRTF,Vet Supplies Co.,Gabapentin,41.0,55,2255.0
2024-02-01,2EQZL3YY22ZFSOAT,Pets Pharma,Griseofulvin,34.5,15,517.5
2024-02-01,2D2WF6VI69SZX2Q5,Animal Meds Ltd.,Hill's Prescription Diet w/d,5.4,75,405.0
2024-02-01,PQBBZU8I2ER30B2H,Vet Pharma Inc.,Levothyroxine,1.2,20,24.0
2024-02-01,EYUT2V39KL09T122,Vet Supplies Co.,Methimazole,13.75,22,302.5
2024-02-01,H7NTOEC6XY3YOKLH,Vet Supplies Co.,Metronidazole,64.0,10,640.0
2024-02-01,RBXNJEVO3NT0B5RN,Vet Supplies Co.,Nutra Thrive Canine,9.26,60,555.6
2024-02-01,LQPDV2GUYYEB7KWF,Pets Pharma,OncoCare,7.51,85,638.35
2024-02-01,6BOEBWIZJGOPSKC2,Animal Meds Ltd.,OraVet Dental Gel,13.5,25,337.5
2024-02-01,GPYLANFIW4V4FD8O,Vet Pharma Inc.,OtitisClean,1.4,15,21.0
2024-02-01,WLC4F03RG84UWMEO,Animal Meds Ltd.,Otomax (Mometasone Furoate),5.800000000000001,45,261.00000000000006
2024-02-01,AL1XKAER6KLBMCBH,Vet Supplies Co.,Palladia (Toceranib Phosphate),23.5,120,2820.0
2024-02-01,8W8WFD7RN4TW4M3E,Vet Pharma Inc.,Petromalt,9.8,25,245.00000000000003
2024-02-01,GTMZMK5K6J29XCQL,Vet Pharma Inc.,Phenobarbital,23.0,30,690.0
2024-02-01,05Y3YUZIK2KQ6F7W,Vet Supplies Co.,Prednisolone,7.4,22,162.8
2024-02-01,VWRQSYQ93W7JTMB7,Vet Supplies Co.,Renal Support RX (Cat),3.68,50,184.0
2024-02-01,34BJ3P4BSS1P6S52,Pets Pharma,RetinoGuard,0.8,50,40.0
2024-02-01,FXAM4RSJXJNS0B38,Vet Pharma Inc.,Rimadyl (Carprofen),20.5,45,922.5
2024-02-01,3RE0NQ9J1WZFEGKW,Vet Supplies Co.,SlimPaws,4.53,35,158.55
2024-02-01,R6V7OSL9O70CQYMQ,Vet Supplies Co.,ThyroVet,9.56,40,382.40000000000003
2024-02-01,7G7ADJDU59OBBQ91,Vet Pharma Inc.,Tobrex (Tobramycin),39.0,15,585.0
2024-02-01,KVU1O6KQABKH2FUK,Pets Pharma,Torbutrol (Butorphanol Tartrate),16.0,40,640.0
2024-02-01,GZ53VTSC0DQFNGZZ,Vet Pharma Inc.,Tresaderm (Antibiotic Drops),8.5,20,170.0
2024-02-01,3X4GWMABDCF1UDMJ,Vet Pharma Inc.,UroVet,23.33,28,653.24
2024-02-01,93R8ZX1YIQ8TY5GC,Pets Pharma,Vetmedin (Pimobendan),147.0,60,8820.0
2024-02-01,6EZTPFH6DKWRVTEC,Animal Meds Ltd.,VetriScience Perio Support,0.04,28,1.12
2024-02-01,P63GLI5JBU0C5MHN,Vet Supplies Co.,Virbac C.E.T. Enzymatic Oral Gel,15.8,15,237.0
2024-02-01,MUBTOY8OUFMHN4C3,Pets Pharma,WetTailMed,6.300000000000001,12,75.60000000000001
2024-02-01,UEN5WRPDP950KYPX,Pets Pharma,WormAway,6.66,10,66.6
2024-02-01,55JISTXLG3AI93I4,Vet Supplies Co.,WormGuard,10.33,15,154.95
2024-02-01,540MSRA0L9YJPR9Q,Vet Supplies Co.,Zyrtec (Cetirizine),30.7,20,614.0
2024-03-01,WSMNIO0KZYZEZ4K6,Vet Supplies Co.,Adequan Canine,79.0,50,3950.0
2024-03-01,UICFMMKPM6IVFL41,Vet Supplies Co.,Adequan Canine Injection,105.0,60,6300.0
2024-03-01,9DZLRGTOE90KDUNC,Pets Pharma,AllerEx,2.11,22,46.419999999999995
2024-03-01,JBS1KWGS5HD3VY4J,Animal Meds Ltd.,ArthriFlex,1.08,30,32.400000000000006
2024-03-01,CQIB08EWWTOYS7BU,Vet Supplies Co.,Arthroflex,34.4,35,1204.0
2024-03-01,U1U1P4NXMHRRTCHW,Pets Pharma,Atopica (Cyclosporine),53.5,90,4815.0
2024-03-01,WQX47A1PI2HL9R3Y,Vet Supplies Co.,Beano,10.100000000000001,20,202.00000000000003
2024-03-01,ANCLSBP4N3QR2MO9,Vet Pharma Inc.,BoneHeal,0.9,40,36.0
2024-03-01,GIS0UR24G1P3SJME,Pets Pharma,Canine Eye Health,3.94,30,118.2
2024-03-01,NGBP9KF6AHODTSTW,Vet Supplies Co.,CardioVet,9.6,50,480.0
2024-03-01,Q3RKBOUQP0TWCBUS,Pets Pharma,Cephalexin (500 mg),29.0,20,580.0
2024-03-01,MXEISY81VWHY625A,Vet Supplies Co.,Cerenia (Maropitant),114.0,50,5700.0
2024-03-01,7HVJEF3PKX2NIWTJ,Vet Pharma Inc.,Clavamox (Amoxicillin + Clavulanic),92.5,25,2312.5
2024-03-01,XIFXBPGYE3GWEBGV,Vet Supplies Co.,Clavamox (Amoxicillin/Clavulanic),71.0,25,1775.0
2024-03-01,32J2WGGV0503VHW8,Pets Pharma,CushiVet,10.06,45,452.70000000000005
2024-03-01,7CS6LDAV92CNJVVA,Vet Supplies Co.,Cystaid,32.5,30,975.0
2024-03-01,WRGY3IVJB24YYSZ0,Animal Meds Ltd.,Dasuquin Advanced,24.05,70,1683.5
2024-03-01,AEJTO1BH5VF3CIMI,Vet Supplies Co.,Dermacure,0.02,18,0.36
2024-03-01,VQC7A6020BJXDE3H,Vet Supplies Co.,DiarStop,19.93,15,298.95
2024-03-01,IVX2IANU9O5W35NL,Animal Meds Ltd.,EarClear,8.9,10,89.0
2024-03-01,CGN7LYAXY5IQZQRA,Vet Supplies Co.,Enrofloxacin (Baytril),17.0,20,340.0
2024-03-01,98NSLW67IPH14ILE,Vet Pharma Inc.,Enzymatic Dental Gel,12.04,25,301.0
2024-03-01,SEZXH3VC3JCR6OIF,Animal Meds Ltd.,EyeClear,21.4,18,385.2
2024-03-01,HBAXV381KRYLUFF8,Pets Pharma,Fenbendazole (Panacur),42.0,22,924.0
2024-03-01,N3KY8ZKNW5M2SAU9,Vet Supplies Co.,FleaGuard,11.17,20,223.4
2024-03-01,20S73AX0BU91GQYC,Animal Meds Ltd.,FleaStop,10.62,25,265.5
2024-03-01,RJGC798LQZ9U5Y9D,Vet Supplies Co.,FlexiJoint (Dog),12.24,50,612.0
2024-03-01,WM0RS0Q268RVEMVJ,Vet Pharma Inc.,Frontline Plus,106.0,35,3710.0
2024-03-01,4FCUIJ493RIXZI7D,Animal Meds Ltd.,FungalGuard,4.12,40,164.8
2024-03-01,C2UNP5HOYDNJODZL,Vet Pharma Inc.,Gabapentin,47.5,55,2612.5
2024-03-01,36I5IZ0C597E0KQG,Pets Pharma,GingivaPlus,10.36,28,290.08
2024-03-01,YPUMGJ379KW3F8ZX,Vet Pharma Inc.,Griseofulvin,55.5,15,832.5
2024-03-01,FRDQ3PKARPFIIDBB,Vet Pharma Inc.,Hill's Prescription Diet w/d,2.3,75,172.5
2024-03-01,VV9C5GU5EGC0J9TR,Vet Supplies Co.,Levothyroxine,6.3,20,126.0
2024-03-01,56AYVDQ5EU4JCVUI,Pets Pharma,Methimazole,41.5,22,913.0
2024-03-01,VVXD3EXGOXR3UVEL,Vet Pharma Inc.,Metronidazole,51.0,10,510.0
2024-03-01,4QYCECVTS3LWMP6K,Vet Pharma Inc.,Nutra Thrive Canine,5.18,60,310.79999999999995
2024-03-01,54SOXSHWMTF07UAL,Animal Meds Ltd.,OncoCare,6.34,85,538.9
2024-03-01,UV4R275FH278YXM8,Vet Supplies Co.,OraVet Dental Gel,35.0,25,875.0
2024-03-01,6U7LRMH1QBQMLMEU,Vet Pharma Inc.,OtitisClean,5.6,15,84.0
2024-03-01,S596Y1NSS0RG8T3O,Pets Pharma,Otomax (Mometasone Furoate),24.2,45,1089.0
2024-03-01,RXP3VLA9X6K937Q2,Vet Supplies Co.,Palladia (Toceranib Phosphate),33.5,120,4020.0
2024-03-01,Z8BJI8AHS2ZBWQU2,Vet Supplies Co.,Petromalt,1.4000000000000001,25,35.0
2024-03-01,S3G73AFO7UXDDCCJ,Vet Pharma Inc.,Phenobarbital,34.0,30,1020.0
2024-03-01,3DHB25SD8ONOLU3G,Animal Meds Ltd.,Prednisolone,8.21,22,180.62
2024-03-01,Z54YIBFLYFKX0HVO,Vet Pharma Inc.,Renal Support RX (Cat),9.08,50,454.0
2024-03-01,HUBO7UA8D2ITV6IE,Vet Supplies Co.,RespiraTonic,3.18,30,95.4
2024-03-01,FZ1WSZOEMUR7QVNU,Animal Meds Ltd.,RetinoGuard,6.0,50,300.0
2024-03-01,VHZMLBY2DBKIKK4V,Vet Pharma Inc.,Rimadyl (Carprofen),60.5,45,2722.5
2024-03-01,19ROCVMV7BHMINVU,Vet Supplies Co.,SlimPaws,13.04,35,456.4
2024-03-01,174GFZSX8XWM3WSN,Vet Supplies Co.,ThyroVet,15.780000000000001,40,631.2
2024-03-01,SHW47C9Q1LVTWRM7,Pets Pharma,Tobrex (Tobramycin),53.0,15,795.0
2024-03-01,STHEEYSLPQOWLHXH,Vet Supplies Co.,Torbutrol (Butorphanol Tartrate),20.5,40,820.0
2024-03-01,L2K3995BHYPBKWSA,Animal Meds Ltd.,Tresaderm (Antibiotic Drops),24.0,20,480.0
2024-03-01,4HJNWN0AMNGZ1AN4,Pets Pharma,UroVet,28.9,28,809.1999999999999
2024-03-01,73D7MSTISJRMA7Y1,Animal Meds Ltd.,Vetmedin (Pimobendan),323.0,60,19380.0
2024-03-01,S3Y5Z43IXOD1TEP7,Vet Pharma Inc.,Virbac C.E.T. Enzymatic Oral Gel,29.6,15,444.0
2024-03-01,AZS10BE4O04T9XYH,Pets Pharma,WetTailMed,5.0,12,60.0
2024-03-01,AS2D34O2O35EB5BM,Pets Pharma,WormAway,12.05,10,120.5
2024-03-01,TXASLRKFZYDCYNYM,Vet Pharma Inc.,WormGuard,11.08,15,166.2
2024-03-01,UUS8EU9S2408WKPQ,Vet Pharma Inc.,Zyrtec (Cetirizine),23.6,20,472.0
2024-04-01,CG691I0CPPUPCS4D,Vet Pharma Inc.,Adequan Canine,102.0,50,5100.0
2024-04-01,8IKJ6WP8F1RI90WG,Vet Pharma Inc.,Adequan Canine Injection,86.0,60,5160.0
2024-04-01,MUD6XM4R1CKEPNOW,Vet Supplies Co.,AllerEx,4.91,22,108.02000000000001
2024-04-01,XBVJ2LXNEGKUGFII,Animal Meds Ltd.,ArthriFlex,9.86,30,295.79999999999995
2024-04-01,Y44G5TUOOVLK8083,Animal Meds Ltd.,Arthroflex,28.6,35,1001.0
2024-04-01,D9W9ZLC0M7L4P0QT,Pets Pharma,Atopica (Cyclosporine),79.0,90,7110.0
2024-04-01,V167FREP9S58ZNSD,Vet Supplies Co.,Beano,13.8,20,276.0
2024-04-01,TKQ7URPGCJ7RL02K,Vet Pharma Inc.,BoneHeal,11.02,40,440.79999999999995
2024-04-01,Z8NSGSNX1OL8CCIY,Pets Pharma,Canine Eye Health,8.78,30,263.4
2024-04-01,48TRQUR845RMJH7S,Vet Supplies Co.,CardioVet,24.560000000000002,50,1228.0
2024-04-01,FK3B6ULZB4FZTJB8,Vet Supplies Co.,Cephalexin (500 mg),29.0,20,580.0
2024-04-01,RIJBW1CU3B65C8OO,Pets Pharma,Cerenia (Maropitant),52.0,50,2600.0
2024-04-01,7RS66HU1R9JCC4WS,Pets Pharma,Clavamox (Amoxicillin + Clavulanic),70.0,25,1750.0
2024-04-01,JGECQWM9VIYSBIFQ,Animal Meds Ltd.,Clavamox (Amoxicillin/Clavulanic),45.5,25,1137.5
2024-04-01,NZ5LYFT0ITYLDA4Q,Animal Meds Ltd.,CushiVet,10.19,45,458.54999999999995
2024-04-01,6M24XU1SV18STJ3P,Animal Meds Ltd.,Cystaid,61.5,30,1845.0
2024-04-01,OBKKL6UX458TQI1K,Vet Pharma Inc.,Dasuquin Advanced,21.05,70,1473.5
2024-04-01,B0IK20A2FLTO4QB1,Pets Pharma,Dermacure,0.16,18,2.88
2024-04-01,QRZODIV3ECGE3DXK,Vet Pharma Inc.,DiarStop,42.16,15,632.4
2024-04-01,YJQF96HMSOXUZV17,Pets Pharma,EarClear,10.5,10,105.0
2024-04-01,YNFAPRTGKNGX4EUL,Animal Meds Ltd.,Enrofloxacin (Baytril),19.0,20,380.0
2024-04-01,KV3ZPY9V3FZUNQOX,Vet Pharma Inc.,Enzymatic Dental Gel,4.58,25,114.5
2024-04-01,F6SOWX3ST1YJ9OM4,Vet Supplies Co.,EyeClear,12.5,18,225.0
2024-04-01,1DQFOBQGXFN8PFT7,Vet Supplies Co.,Fenbendazole (Panacur),52.0,22,1144.0
2024-04-01,9F97L7I01YBM1M5J,Vet Pharma Inc.,FleaGuard,9.59,20,191.8
2024-04-01,A4X3JYY9YXS1QPB6,Vet Pharma Inc.,FleaStop,12.17,25,304.25
2024-04-01,23S35PFLXMG3DBQL,Vet Pharma Inc.,FlexiJoint (Dog),4.24,50,212.0
2024-04-01,R114MX0MZAZO900K,Pets Pharma,Frontline Plus,140.0,35,4900.0
2024-04-01,SIEVT8SPESKHSCOE,Vet Pharma Inc.,FungalGuard,14.02,40,560.8
2024-04-01,X3H7CQCXOJ94RT5R,Pets Pharma,Gabapentin,45.5,55,2502.5
2024-04-01,GNMWLO725KSAYWJF,Vet Pharma Inc.,GingivaPlus,7.75,28,217.0
2024-04-01,LDIGGJKXLLCQNH1L,Pets Pharma,Griseofulvin,60.5,15,907.5
2024-04-01,83UTAS97ZQF0FBUZ,Vet Supplies Co.,Hill's Prescription Diet w/d,6.35,75,476.25
2024-04-01,MUNGJPXK48QH6RTT,Vet Supplies Co.,Levothyroxine,13.3,20,266.0
2024-04-01,LMHP4V34LUPQMLQI,Vet Pharma Inc.,Methimazole,42.25,22,929.5
2024-04-01,SPNBJGQGJRGNJECS,Vet Supplies Co.,Metronidazole,125.0,10,1250.0
2024-04-01,K9NPRSXOTPIF714O,Pets Pharma,Nutra Thrive Canine,9.86,60,591.5999999999999
2024-04-01,8BJ8HSZBF0TMSBMQ,Animal Meds Ltd.,OncoCare,4.77,85,405.45
2024-04-01,CH8UXU6MQGI6S7WG,Vet Pharma Inc.,OraVet Dental Gel,41.75,25,1043.75
2024-04-01,UGM8CR4LCAVF2WCB,Vet Supplies Co.,OtitisClean,15.0,15,225.0
2024-04-01,3Y1RCCISDGFLCWXS,Pets Pharma,Otomax (Mometasone Furoate),9.600000000000001,45,432.00000000000006
2024-04-01,NOPIMNX7M74OC8R7,Animal Meds Ltd.,Palladia (Toceranib Phosphate),86.5,120,10380.0
2024-04-01,XLGAWGRX3S73D3XI,Animal Meds Ltd.,Petromalt,9.9,25,247.5
2024-04-01,I3XJFE73P0Y9V7V8,Pets Pharma,Phenobarbital,33.0,30,990.0
2024-04-01,4X7ZD46Z2XLXCXRM,Vet Supplies Co.,Prednisolone,1.68,22,36.96
2024-04-01,R4X8LDANZH5XH1TN,Pets Pharma,Renal Support RX (Cat),11.91,50,595.5
2024-04-01,8BWFVPX5YBBBHG1O,Vet Pharma Inc.,RespiraTonic,0.96,30,28.799999999999997
2024-04-01,RLBHV00RQBZFV17Q,Vet Supplies Co.,RetinoGuard,16.9,50,844.9999999999999
2024-04-01,15DNOWGM3UOS38AE,Pets Pharma,Rimadyl (Carprofen),63.5,45,2857.5
2024-04-01,NTB1U0ZRRN8ZDMP4,Pets Pharma,SlimPaws,6.699999999999999,35,234.49999999999997
2024-04-01,COFKGNW2PZJM97JG,Pets Pharma,ThyroVet,12.27,40,490.79999999999995
2024-04-01,OOKE2INW67PBJJ62,Vet Supplies Co.,Tobrex (Tobramycin),106.0,15,1590.0
2024-04-01,UZ9HN9TC42TWWRKM,Vet Supplies Co.,Torbutrol (Butorphanol Tartrate),28.0,40,1120.0
2024-04-01,C7M8JBY4NU95WMYD,Vet Pharma Inc.,Tresaderm (Antibiotic Drops),36.5,20,730.0
2024-04-01,7K9H7H2JT1TT4Z9N,Animal Meds Ltd.,UroVet,31.11,28,871.0799999999999
2024-04-01,TSX5JC3BHNLG6JZI,Vet Supplies Co.,Vetmedin (Pimobendan),349.0,60,20940.0
2024-04-01,WMN4RR0Y8VDRYSCX,Vet Supplies Co.,VetriScience Perio Support,1.3,28,36.4
2024-04-01,89UNC95MEXJ29WLH,Vet Supplies Co.,Virbac C.E.T. Enzymatic Oral Gel,19.6,15,294.0
2024-04-01,QSHZSIAN2RQA5P7Y,Vet Pharma Inc.,WetTailMed,9.2,12,110.39999999999999
2024-04-01,89G77ZHMDGUUZDFJ,Pets Pharma,WormAway,9.35,10,93.5
2024-04-01,B1XJ9J57VY9QDPDQ,Vet Pharma Inc.,WormGuard,10.4,15,156.0
2024-04-01,5GWYJFJYW23KH536,Vet Supplies Co.,Zyrtec (Cetirizine),33.4,20,668.0
2024-05-01,XNJGVNJNYKXY6WJ0,Animal Meds Ltd.,Adequan Canine,100.0,50,5000.0
2024-05-01,LTDAK7USICNNU7SH,Animal Meds Ltd.,Adequan Canine Injection,110.0,60,6600.0
2024-05-01,ZW48ZMT20JU43Z8Y,Vet Pharma Inc.,AllerEx,18.59,22,408.98
2024-05-01,U1F0PP6ZR3PMFGE2,Animal Meds Ltd.,ArthriFlex,6.640000000000001,30,199.20000000000002
2024-05-01,XJOWQ1IKAG1VJNM4,Vet Pharma Inc.,Arthroflex,45.0,35,1575.0
2024-05-01,N353GFJNM6V4UZFN,Animal Meds Ltd.,Atopica (Cyclosporine),118.5,90,10665.0
2024-05-01,UD2HPNVBN2G2YWTZ,Animal Meds Ltd.,Beano,17.5,20,350.0
2024-05-01,QKHQVGZKOE12DPGV,Vet Supplies Co.,BoneHeal,6.48,40,259.20000000000005
2024-05-01,7GIBP1C9J15C05RR,Pets Pharma,Canine Eye Health,6.48,30,194.4
2024-05-01,KAIPMS9OOBDUVMJX,Vet Pharma Inc.,CardioVet,23.36,50,1168.0
2024-05-01,ZJSTA2MSIZL8UKPD,Vet Pharma Inc.,Cephalexin (500 mg),24.0,20,480.0
2024-05-01,OUABBA8L89YKN5P6,Animal Meds Ltd.,Cerenia (Maropitant),179.0,50,8950.0
2024-05-01,AGYHCKI85QB30YVY,Vet Supplies Co.,Clavamox (Amoxicillin + Clavulanic),105.0,25,2625.0
2024-05-01,XBSWJ3K3081LG5Q0,Animal Meds Ltd.,Clavamox (Amoxicillin/Clavulanic),56.0,25,1400.0
2024-05-01,A8C1MJN4FCHQZXD4,Animal Meds Ltd.,CushiVet,8.48,45,381.6
2024-05-01,SQSQCHWOQSYY4WP8,Pets Pharma,Cystaid,78.5,30,2355.0
2024-05-01,WNOY44L5C7ZULZFW,Animal Meds Ltd.,Dasuquin Advanced,26.4,70,1848.0
2024-05-01,G50OHVIR1G9IL5FZ,Pets Pharma,Dermacure,3.46,18,62.28
2024-05-01,DSK6WPIIR3UH3DY8,Vet Pharma Inc.,DiarStop,72.02000000000001,15,1080.3000000000002
2024-05-01,N5EDW9A2Y92CT219,Vet Pharma Inc.,EarClear,9.7,10,97.0
2024-05-01,OPVVVH0B9FHRLAOW,Vet Pharma Inc.,Enrofloxacin (Baytril),67.5,20,1350.0
2024-05-01,JLRHVH1D3QVB8A8S,Pets Pharma,Enzymatic Dental Gel,10.92,25,273.0
2024-05-01,R8SEIHNZGYKEBT8Q,Vet Pharma Inc.,EyeClear,19.3,18,347.40000000000003
2024-05-01,2ONPONOLBBAI06W4,Vet Supplies Co.,Fenbendazole (Panacur),103.0,22,2266.0
2024-05-01,63P42WH1229T527R,Vet Pharma Inc.,FleaGuard,5.859999999999999,20,117.19999999999999
2024-05-01,440HS37UL0TUJ196,Vet Pharma Inc.,FleaStop,1.71,25,42.75
